Elapsed Time,1-instances-per-model-batch-1-time-2000,1-instances-per-model-batch-3-time-2000,1-instances-per-model-batch-5-time-2000,2-instances-per-model-batch-1-time-2000,2-instances-per-model-batch-3-time-2000,2-instances-per-model-batch-5-time-2000,3-instances-per-model-batch-1-time-2000,3-instances-per-model-batch-3-time-2000,3-instances-per-model-batch-5-time-2000,4-instances-per-model-batch-1-time-2000,4-instances-per-model-batch-3-time-2000,4-instances-per-model-batch-5-time-2000
3878.0,,,,,,,3.878,,,,,
3881.0,,,,,,,,,,3.881,,
4097.0,,,,,,4.097,,,,,,
4170.0,4.17,,,,,,,,,,,
7312.0,,,,,,,,,7.312,,,
7426.0,,,,,,,,,,,,7.426
7472.0,,7.472,,,,,,,,,,
7523.0,,,7.523,,,,,,,,,
7550.0,,,,,7.55,,,,,,,
7763.0,,,,,,,3.67,,,,,
7769.0,,,,,,,,,,3.466,,
7871.0,,,,,,,,7.871,,,,
8068.0,,,,,,,,,,,8.068,
8202.0,,,,,,7.295,,,,,,
8348.0,3.566,,,,,,,,,,,
11235.0,,,,,,,,,,3.69,,
11435.0,,,,,,,3.992,,,,,
11916.0,3.685,,,,,,,,,,,
14632.0,,,,,,,,,7.291,,,
14864.0,,,,,,,,,,,,7.39
14925.0,,,,,,,,,,3.477,,
14953.0,,7.455,,,,,,,,,,
15062.0,,,7.32,,,,,,,,,
15109.0,,,,,7.558,,,,,,,
15428.0,,,,,,,5.223,,,,,
15498.0,,,,,,7.427,,,,,,
15600.0,3.485,,,,,,,,,,,
15752.0,,,,,,,,7.866,,,,
16150.0,,,,,,,,,,,7.634,
18403.0,,,,,,,,,,4.61,,
19086.0,3.376,,,,,,,,,,,
20651.0,,,,,,,3.479,,,,,
21926.0,,,,,,,,,7.419,,,
22254.0,,,,,,,,,,,,7.37
22383.0,,,7.368,,,,,,,,,
22409.0,,7.474,,,,,,,,,,
22463.0,3.381,,,,,,,,,,,
22666.0,,,,,7.373,,,,,,,
22927.0,,,,,,7.473,,,,,,
23014.0,,,,,,,,,,3.448,,
23620.0,,,,,,,,7.679,,,,
23762.0,,,,,,,,,,3.448,,
23763.0,,,,,,,3.646,,,,,
23784.0,,,,,,,,,,,7.599,
23980.0,,,,,,7.444,,,,,,
24056.0,4.346,,,,,,,,,,,
24132.0,,,,,,,3.584,,,,,
25844.0,5.323,,,,,,,,,,,
26464.0,,,,,,,,,,3.406,,
27188.0,,,,,,,,,7.496,,,
27212.0,,,,,,,,,,3.686,,
27301.0,,,,,,,,,,,,7.364
27337.0,,7.403,,,,,,,,,,
27381.0,,,7.427,,,,,,,,,
27410.0,,,,,,,3.582,,,,,
27443.0,,,,,7.514,,,,,,,
27717.0,,,,,,,3.686,,,,,
27765.0,,,,,,,,7.53,,,,
27959.0,,,,,,,,,,,7.421,
28373.0,,,,28.373,,,,,,,,
28403.0,5.322,,,,,,,,,,,
29346.0,,,,,,,,,7.41,,,
29626.0,,,,,,,,,,,,7.473
29752.0,,,7.948,,,,,,,,,
29871.0,,,,,,,,,,3.483,,
29883.0,,7.774,,,,,,,,,,
30042.0,,,,,7.579,,,,,,,
30401.0,,,,,,7.374,,,,,,
30899.0,,,,,,,,,,3.479,,
30994.0,,,,,,,3.584,,,,,
31168.0,5.017,,,,,,,,,,,
31298.0,,,,,,,,7.476,,,,
31384.0,,,,,,,,,,,7.383,
31405.0,,,,,,,3.58,,,,,
31425.0,,,,,,8.666,,,,,,
33355.0,,,,,,,,,,3.583,,
33727.0,5.221,,,,,,,,,,,
34380.0,,,,,,,,,,3.484,,
34578.0,,,,,,,3.584,,,,,
34665.0,,,,,,,,,,,,7.347
34686.0,,,,,,,,,7.414,,,
34744.0,,7.632,,,,,,,,,,
34810.0,,,7.573,,,,,,,,,
34959.0,,,,,7.472,,,,,,,
34986.0,,,,,,,3.584,,,,,
35295.0,,,,,,,,7.471,,,,
35382.0,,,,,,,,,,,7.37,
36187.0,5.222,,,,,,,,,,,
36757.0,,,,,,,,,7.384,,,
36940.0,,,,,,,,,,3.584,,
37098.0,,,,,,,,,,,,7.477
37621.0,,,,,7.425,,,,,,,
37658.0,,8.301,,,,,,,,,,
37701.0,,,8.264,,,,,,,,,
37775.0,,,,,,7.473,,,,,,
37866.0,,,,,,,,,,3.579,,
38162.0,,,,,,,3.687,,,,,
38571.0,,,,,,,3.582,,,,,
38767.0,,,,,,,,,,,7.463,
38775.0,,,,,,,,7.471,,,,
38950.0,5.05,,,,,,,,,,,
40092.0,,,,,,7.412,,,,,,
40523.0,,,,,,,,,,3.582,,
41408.0,5.322,,,,,,,,,,,
41445.0,,,,,,,,,,3.585,,
41849.0,,,,,,,3.583,,,,,
42012.0,,,,,,,,,,,,7.479
42100.0,,,,,,,,,7.404,,,
42153.0,,,,,,,3.689,,,,,
42376.0,,8.193,,,,,,,,,,
42384.0,,,8.086,,,,,,,,,
42431.0,,,,,7.338,,,,,,,
42751.0,,,,,,,,,,,7.476,
42767.0,,,,,,,,7.376,,,,
43762.0,,,,,,,,,,3.8289999999999997,,
43767.0,,,,,,,4.029,,,,,
43981.0,,,,,,9.404,,,,,,
43982.0,,,,,,9.403,,,,,,
43999.0,5.297,,,,,,,,,,,
44056.0,9.456,,,,,,,,,,,
44107.0,,,,,,,,,,3.756,,
44142.0,,,,,,,,,7.348,,,
44581.0,,,,,,,,,,,,7.57
45031.0,,,,,,,,,,3.583,,
45047.0,,,,,7.506,,,,,,,
45250.0,,,,,,10.446,,,,,,
45433.0,,,,,,,3.686,,,,,
45843.0,,,,,,,4.305,,,,,
45961.0,,9.424,,,,,,,,,,
45966.0,,,7.987,,,,,,,,,
46232.0,,,,,,,,,,,9.219,
46249.0,,,,,,,,9.264,,,,
46731.0,10.754,,,,,,,,,,,
47188.0,,,,,,,,,9.76,,,
47304.0,,,,,,,,,,,,9.764
47337.0,,8.048,,,,,,,,,,
47385.0,,,11.278,,,,,,,,,
47386.0,,,,,,,3.505,,,,,
47442.0,,,,,5.7885,,,,,,,
47506.0,,,,,,7.459,,,,,,
47588.0,,,,,,,,,,3.792,,
47597.0,,,,,,,,,,3.786,,
47760.0,,,,,,,,7.753,,,,
