elapsed,1-services-batchprocess-1,elapsed,1-services-batchprocess-3,elapsed,1-services-batchprocess-5,elapsed,2-services-batchprocess-1,elapsed,2-services-batchprocess-3,elapsed,2-services-batchprocess-5,elapsed,3-services-batchprocess-1,elapsed,3-services-batchprocess-3,elapsed,3-services-batchprocess-5,elapsed,4-services-batchprocess-1,elapsed,4-services-batchprocess-3,elapsed,4-services-batchprocess-5
0,3351,0,11174,0,9685,0,3343,0,9539,0,9500,0,3495,0,9674,0,9884,0,3618,0,9533,0,9452
3359,3408.0,11183,10304.0,9694,9906.0,3352,3352.5,9547,9522.5,9508,9462.0,3506,3422.5,9683,9642.0,9892,9847.5,3626,3604.5,9542,9474.5,9460,9480.0
6825,3364.0,19886,10082.333333333334,19821,9804.666666666666,6716,3361.0,19058,9542.333333333334,18933,9482.666666666666,6856,3407.3333333333335,19293,9670.333333333334,19704,9784.666666666666,7218,3555.6666666666665,18960,9426.666666666666,18968,9494.0
10102,3341.25,20619,10505.5,19891,10521.5,10094,3365.0,19887,9560.0,19893,9483.0,10235,3426.0,19886,9663.75,19892,9774.0,10677,3562.5,19897,9446.75,19895,9499.75
13375,3369.6,29528,10329.0,29426,10345.4,13471,3368.0,28640,9552.4,28458,9506.0,13717,3437.2,29023,9676.2,29365,9757.6,14265,3565.4,28291,9467.8,28491,9504.6
16863,3353.3333333333335,32394,10382.166666666666,32565,10353.5,16852,3352.5,29500,9530.5,29378,9525.666666666666,17199,3438.6666666666665,29532,9685.166666666666,29636,9734.333333333334,17844,3550.6666666666665,29406,9483.5,29414,9507.5
19895,3362.4285714285716,39153,10084.285714285714,39068,10227.857142857143,19893,3375.285714285714,38164,9183.375,38058,9547.0,19877,3445.0,38749,9175.777777777777,39059,9733.285714285714,19899,3568.5714285714284,37843,9231.0,38015,9551.57142857143
20136,3659.125,39887,9769.25,39894,10638.25,20129,3401.125,38923,9153.0,39003,9565.5,20644,3466.625,39262,9183.0,39255,9733.5,21322,3570.625,38969,9202.111111111111,38937,9562.875
23313,3823.777777777778,39887,9524.222222222223,39894,10957.444444444445,23407,3421.4444444444443,39888,9114.0,39894,9905.666666666666,23360,3500.4444444444443,39886,9265.57142857143,39893,9958.777777777777,23576,3574.222222222222,39892,9107.285714285714,39898,9820.777777777777
25872,3973.8,43044,9534.3,42960,11202.7,23712,3438.0,39888,9032.2,39894,10177.8,24262,3524.7,39886,9056.3,39893,10139.0,24908,3585.4,39892,9086.7,39898,10027.1
28455,4094.3636363636365,47450,9391.69230769231,48543,11119.363636363636,26991,3451.181818181818,46503,8779.846153846156,47734,10132.818181818182,27133,3539.2727272727275,46635,8790.307692307691,48787,10079.666666666666,27179,3583.4545454545455,46743,8871.25,47833,9988.545454545454
31196,4179.833333333333,47451,9478.09090909091,53405,11346.384615384615,27299,3470.75,47833,8715.785714285716,48699,10090.583333333334,28006,3555.3333333333335,47868,8843.545454545454,48989,10097.454545454546,28593,3582.9166666666665,47940,8857.636363636364,48579,9956.666666666666
33756,4252.076923076923,47451,9431.250000000002,53406,11242.25,30576,3479.4615384615386,47834,8743.750000000002,52521,10331.07142857143,30819,3565.3076923076924,47868,8763.333333333334,51655,10202.0,30744,3590.923076923077,47940,8790.692307692309,51783,10090.307692307691
36315,4313.928571428572,52670,9437.571428571431,56372,11963.933333333332,30985,3479.5714285714284,47836,8822.09090909091,52523,10220.0,31738,3573.785714285714,47868,8725.357142857141,51655,10306.857142857143,32170,3583.5,47941,8721.857142857143,51783,10204.857142857143
38874,4367.733333333334,56368,9540.411764705885,58829,11589.42857142857,34161,3493.2,54558,8614.0,57417,10810.368421052632,34505,3574.5333333333333,54586,8647.937499999996,58673,10450.6,34431,3590.0,54508,8361.235294117647,57436,10381.045454545454
39888,4517.8125,56370,9476.333333333336,59892,12251.0,34467,3505.25,55717,8578.466666666667,58324,10345.4375,35422,3575.3125,55750,8600.799999999997,58673,10623.285714285714,35659,3596.625,55765,8360.888888888889,58186,10566.565217391304
39888,4800.764705882353,56370,9510.312500000002,59893,12166.470588235294,37846,3509.823529411765,55717,8577.176470588236,59895,10893.25,38091,3581.823529411765,55750,8621.058823529409,59895,10080.6,38114,3614.235294117647,55765,8360.631578947368,59896,10149.1875
41434,5108.555555555556,59890,9920.894736842107,59893,13041.2,38154,3502.6666666666665,55717,8544.444444444445,59897,10099.4,39010,3587.6111111111113,55750,8597.166666666664,59895,10228.0625,39356,3628.9444444444443,55769,8580.933333333332,59897,9970.2
43996,5383.789473684211,59891,10082.600000000002,59894,12071.5,39895,3535.315789473684,59893,8657.57142857143,59897,10470.0,39878,3595.5263157894738,59887,8416.090909090906,59895,10358.176470588236,39899,3637.0,59894,8358.7,59897,10447.222222222223
46659,5626.45,59891,10906.478260869566,66001,12506.157894736842,39895,3609.35,59895,8575.421052631578,59897,10580.722222222223,39878,3648.95,59887,8411.73913043478,59895,10724.727272727272,39899,3649.45,59895,8283.0625,59900,10306.882352941177
49217,5841.190476190476,59892,9741.166666666668,66001,13234.42857142857,41429,3686.5238095238096,59899,8618.4,64298,10806.857142857143,41778,3655.5238095238096,59888,8578.73684210526,63326,10306.222222222223,42012,3660.6666666666665,59896,8242.363636363636,63478,10389.21052631579
51775,6036.545454545455,62704,10397.238095238097,73579,13452.181818181818,41536,3793.409090909091,59899,8692.909090909092,64298,10728.363636363636,42697,3661.5,59888,8562.149999999998,63326,10259.736842105263,43235,3671.1363636363635,59896,8374.739130434782,63478,10337.05
54334,6214.869565217391,66390,10515.727272727274,73579,14000.8,44019,3872.0434782608695,62374,9102.64,66754,10715.869565217392,43617,3671.478260869565,62608,8420.85714285714,66810,10784.260869565218,43682,3679.086956521739,62378,8238.666666666666,66582,10142.142857142857
56896,6378.416666666667,66390,11254.166666666666,73579,14155.576923076924,44911,3932.5416666666665,63705,8822.08695652174,72362,10623.346153846154,44542,3683.6666666666665,63942,8449.33333333333,72336,10733.26923076923,43786,3684.7083333333335,63711,8392.625,72731,10708.481481481482
59354,6528.72,66390,11574.04,73580,13650.95652173913,46660,4008.36,63705,9315.576923076924,72362,10689.74074074074,45565,3687.88,63942,8508.719999999998,72336,10817.592592592593,45897,3688.88,64121,8392.68,72731,10856.655172413793
59893,7413.535714285715,73046,11613.26923076923,73581,13833.125,47575,4070.730769230769,63706,8940.458333333334,72362,10751.392857142857,46485,3691.3076923076924,63942,8563.53846153846,72750,10642.2,47126,3692.846153846154,64121,8392.73076923077,72731,10985.677419354839
59894,6745.346153846154,73046,11884.777777777777,79889,14433.222222222223,49622,4128.592592592592,69029,9410.370370370372,72362,10808.827586206897,47509,3698.703703703704,68137,8527.607142857141,72750,10881.107142857143,47537,3700.222222222222,64121,8498.925925925925,72823,10783.57142857143
59894,7044.333333333333,73046,12136.892857142857,79889,15155.033333333333,50236,4193.214285714285,69334,9487.500000000002,72365,10862.333333333334,48507,3701.25,68137,8501.516129032256,72750,10940.241379310344,47601,3706.464285714286,68217,8385.689655172411,72825,10921.766666666666
59894,7841.896551724138,79395,12152.724137931034,79890,14691.0,52488,4240.275862068965,69334,9559.344827586208,73378,10630.333333333334,49354,3704.137931034483,68204,8543.666666666664,72750,10995.466666666667,49686,3716.793103448276,68217,8384.23333333333,72826,10587.583333333334
61916,8269.966666666667,79395,12382.533333333333,79890,14931.0,53206,4287.666666666666,69334,9721.933333333336,73378,10551.64,50263,3719.0,68204,8517.55172413793,72751,10710.25,50918,3718.5333333333333,68217,8475.322580645157,72835,10606.56
64474,8673.838709677419,79395,12783.65625,79892,15364.548387096775,55255,4327.677419354839,75369,9722.843750000002,77196,10885.193548387097,51402,3718.6774193548385,68205,8508.133333333331,78905,11024.65625,51429,3721.2258064516127,71187,8387.249999999998,72835,10624.076923076924
67038,9055.53125,79888,12581.612903225807,79892,15880.71875,56175,4365.1875,75369,9723.303030303032,79891,11173.636363636364,52279,3715.8125,73257,8507.937499999998,79899,11085.212121212122,51476,3724.46875,72516,8466.468749999996,79895,10902.026315789473
69492,9420.39393939394,79888,15206.578947368422,79894,16365.545454545454,58047,4402.727272727273,75370,9722.387096774195,79891,11546.194444444445,53141,3724.181818181818,73876,8495.21212121212,79899,11142.235294117647,53692,3722.030303030303,72516,8458.151515151512,79895,10961.307692307691
72057,9766.676470588236,79889,13154.030303030304,79896,17480.166666666668,58869,4440.941176470588,78346,9729.500000000002,79891,11847.815789473685,54414,3723.264705882353,73876,8483.235294117645,79899,11196.0,54687,3717.764705882353,72516,8450.352941176467,79895,11017.649999999998
74715,10093.228571428572,79889,13502.617647058823,83100,17068.8,59896,4503.285714285715,79892,9691.17142857143,79892,11033.90625,55111,3724.4,76230,8351.513513513511,79901,11246.722222222223,55231,3722.342857142857,75383,8451.540540540538,79896,11021.39393939394
77275,10401.611111111111,79889,14772.864864864865,83100,18087.08108108108,59896,4587.694444444444,79892,9709.324324324325,79892,11305.117647058823,55905,3737.6111111111113,76231,8355.552631578947,79901,11369.432432432432,55301,3724.8333333333335,76561,8412.199999999997,79896,11122.214285714284
